Run,Open (µs),Write (µs),Read (µs),Close (µs)
725,807.600,126.500,15.600,102.700
726,347.800,103.100,12.100,89.000
727,504.400,125.200,12.700,91.600
728,735.500,139.200,14.800,135.900
729,789.800,122.500,13.300,132.600
730,731.000,192.300,13.800,199.800
731,386.100,122.900,13.100,88.200
732,453.100,343.700,125.800,259.400
733,572.700,388.100,127.700,115.700
734,552.100,563.600,39.600,313.400
735,2147.600,331.200,204.200,433.500
736,1410.300,326.400,19.300,367.400
737,1735.800,863.000,207.600,198.000
738,1776.900,264.900,191.800,159.200
739,1362.700,581.600,17.900,133.900
740,1060.000,377.500,182.000,249.200
741,526.300,139.200,14.300,290.300
742,355.700,113.200,13.300,92.900
743,1977.400,398.900,194.700,302.700
744,378.100,166.300,15.700,154.000
745,557.100,136.800,126.500,438.400
746,1503.600,427.400,67.000,147.100
747,1165.400,121.000,12.700,93.900
748,1354.400,566.500,22.100,133.200
749,448.300,547.900,30.100,327.500
750,453.600,548.600,131.300,148.600
751,728.300,555.600,54.400,228.100
752,1016.500,361.900,30.500,245.800
753,433.300,241.900,64.700,104.600
754,618.000,144.500,14.800,109.100
